,income,name_email_similarity,prev_address_months_count,current_address_months_count,customer_age,days_since_request,intended_balcon_amount,zip_count_4w,velocity_6h,velocity_24h,velocity_4w,bank_branch_count_8w,date_of_birth_distinct_emails_4w,credit_risk_score,email_is_free,phone_home_valid,phone_mobile_valid,bank_months_count,has_other_cards,proposed_credit_limit,foreign_request,session_length_in_minutes,keep_alive_session,device_distinct_emails_8w,month,is_fraud,payment_type_AA,payment_type_AB,payment_type_AC,payment_type_AD,payment_type_AE,employment_status_CA,employment_status_CB,employment_status_CC,employment_status_CD,employment_status_CE,employment_status_CF,employment_status_CG,housing_status_BA,housing_status_BB,housing_status_BC,housing_status_BD,housing_status_BE,housing_status_BF,source_INTERNET,source_TELEAPP,device_os_linux,device_os_macintosh,device_os_other,device_os_windows,device_os_x11
income,1.0,-0.02813228894538402,0.0010569194541687592,-0.036133953895545336,0.12799227466248553,-0.010995535596852443,0.05194310592823882,-0.06583068451969751,-0.07553384390513483,-0.05763479402499656,-0.0551188059571208,0.00344728565497931,-0.027220925961849166,0.16157949232668428,-0.005799130146673751,0.010850159712807506,0.006784484564673852,-0.030236045086386946,0.07950834196414658,0.11014977957307995,0.020433591656200525,-0.056752674317576225,-0.046340282415475234,-0.010849516660866592,0.06647109206827777,0.03210810439598571,0.0428546232607069,-0.047356318086090796,-0.036267046472876804,0.060835355547142145,-0.008714978021352737,0.012257245689044377,0.09243377479183595,-0.009074689276003802,-0.07225608275303406,-0.07948851248852197,-0.058830215273836035,0.014265172873277483,0.14046006347299095,-0.060190257113001515,0.05477481822908987,-0.0026037216058818835,-0.13497689890414646,0.005257777182893561,0.00561913788553373,0.001829357286195598,-0.04846549674963814,0.018123330989965238,0.031227828012981504,0.010131889399045767,-0.006339510519507495
name_email_similarity,-0.02813228894538402,1.0,0.028451340588434237,0.038137528174658826,-0.06232108712976133,-0.009193332284092432,0.0493549240599469,0.025918279857368727,0.012722022509968694,0.02234655602970773,0.0369632845081295,-0.011681323109130481,0.03161099939291965,0.04550515284645644,-0.06489799372628462,-0.010322181243131265,0.024181450192690076,0.011084192977871676,0.004823823036636567,0.07458597075789931,-0.012885829129568373,-0.0030950222095842434,0.028704591831579068,-0.018429506033645533,-0.04638277469534204,-0.059077890925782924,0.022508918020768848,-0.04403892859965299,0.01300549938465564,0.015923921751945454,0.019927776004333767,0.07730722139319794,-0.07277205007455988,-0.033066878518533245,-0.01370945119795838,0.026402131562459148,-0.015186229685363008,-0.009237862191116848,-0.013323712646094917,-0.028015368277593402,-0.03029520523839214,-0.006680690307807427,0.08754380954912938,-0.013903559861676469,0.01136335947178529,-0.014350675401496404,-0.026563819321515775,0.011000833212755514,0.0155975894309861,0.006821173610078477,-0.004348346064555442
prev_address_months_count,0.0010569194541687592,0.028451340588434237,1.0,0.09727776602838425,0.021580471796709834,0.024051789494490952,0.004948887698412811,0.015611224803311185,-0.015008047319913297,-0.01283509722014062,0.029171996971289808,-0.014408288682750542,-0.03646491062279015,-0.00857061992804962,-0.025807669859326234,0.0267136163518521,-0.018233527101562976,0.031082920223079923,-0.046775549648887936,0.025408348557554878,0.029314834958011758,-0.008945149122652393,0.007326745519582017,0.034141064040942054,-0.005064142013745856,0.03848286920650276,0.009950705706050493,-0.07989088635520379,0.07193109910860755,0.0019258650149330953,,-0.04699583999651645,0.03438308727626006,0.0320394461743562,-0.0009065689605800132,0.0168386151653837,0.009700785468163012,,0.07679462454519143,0.06737762613076416,-0.1353133011718232,0.051103503962951394,0.028201887723736677,0.03488397148184089,-0.020206721276991385,0.026399254862448977,-0.00036345581314249967,-0.0239641017538059,0.021430880852158368,-0.012916982195317407,0.014981845549015035
current_address_months_count,-0.036133953895545336,0.038137528174658826,0.09727776602838425,1.0,0.1292090637287045,-0.0665345508315527,0.06343201661364122,0.03962794541745712,-0.002770995242997294,-0.014918267020525547,-0.008192367759962528,0.04574762903890866,-0.18246781469390194,0.07746838740132299,-0.09893270246270569,0.13050421280155866,-0.0756871473069892,0.0739514422796971,0.040234254150699165,0.11593687421010432,-0.0019516192981821555,-0.03745355583521371,-0.03841112149075882,0.011699210712467706,0.010154112599586398,0.03529071472557062,0.06878145947882786,-0.012207475834000073,-0.04857263145062705,-0.01273226569134108,0.02256011415653478,-0.05738897877248778,0.04310642106799474,0.0768306676469479,-0.0007405422828109282,0.018866474006312913,-0.041566008515180664,0.01712811127657754,0.2395657384558034,-0.030988563393310364,-0.3396454522238573,-0.036804679069245984,0.2480437457100701,0.008066794191816704,-0.004786991540414079,-0.0037644421360449893,-0.06994216748381356,0.004951016620118375,0.023476746678269007,0.04685690204525105,-0.0010748874752945837
customer_age,0.12799227466248553,-0.06232108712976133,0.021580471796709834,0.1292090637287045,1.0,-0.03333828745119126,-0.023809178582313024,-0.001299697110787079,-0.04115269330364432,-0.020237234850792773,-0.007391343850852773,0.05591239471479267,-0.4272648375771835,0.1654669707639638,0.0107708190149783,0.22286372039540742,-0.15234042018540037,0.001378783392986148,0.11645121196693176,0.1367567694561085,0.025840729268076384,0.026566643405117975,-0.031788463511677766,0.017877499470385833,0.010288553983694939,0.055318342218316795,-0.03918030373565961,0.07559643625564372,-0.001395596422393076,-0.05654608664315022,-0.006740318025702424,-0.15784357805777022,0.04674767735227636,0.2936262817192143,0.0012512914770453412,-0.08210982535136077,0.04370665086421412,-0.004765518938166044,0.21459726775672575,0.12643331754610812,-0.02114419049224992,-0.01198967480386121,-0.3196148602983716,-0.005928735761404472,-0.03334357398861732,0.034598362910228615,0.045711176155454225,-0.04138582713519225,-0.11709287058477329,0.0976446006421378,0.0022427669517850837
days_since_request,-0.010995535596852443,-0.009193332284092432,0.024051789494490952,-0.0665345508315527,-0.03333828745119126,1.0,0.023766500764318476,-0.002488526463987703,0.021599111261210953,0.003088236960823686,0.01872942389069185,-0.023747937649609155,0.03090713740945792,-0.07665432662575962,-0.008079029916248537,-0.055048519276105976,0.011971216395497995,0.038101114461731714,-0.05151164545437414,-0.06936368297362036,-0.009249851891643391,0.0499110768892656,0.004758367435710245,-0.011682861080963973,-0.020533017776355363,-0.008180729085701008,0.048168856450566254,-0.09541093390032658,0.08470394049119717,-0.038614877747311566,0.02044405107420072,0.027996037318619476,-0.010028347011287325,-0.01885165189125993,-0.005365353133363216,-0.013140849156910979,-0.009502107223091532,0.007828984869197095,-0.034469834447139844,-0.021117960528818917,0.03565323675240337,0.010599785452473427,0.008500525079596265,-0.003748549676162296,-0.01892073367745021,0.01883147509201121,0.019977315445233103,-0.004065232193915139,-0.013777745052480481,-0.007301735779339985,0.014490979626109122
intended_balcon_amount,0.05194310592823882,0.0493549240599469,0.004948887698412811,0.06343201661364122,-0.023809178582313024,0.023766500764318476,1.0,-0.023303904716714476,0.024043522942677076,0.0488107233428064,0.033298826773230455,0.10496612815683039,-0.020729798468973416,0.010427192578829153,-0.021240033820264556,0.01752453058164953,0.043320167336371875,0.05119752481855831,0.10707899401263136,0.06635583270801629,0.00023481989488551567,-0.00037207236671450575,-0.014709540672968197,-0.04039476628806301,-0.025500893282325614,-0.008065249336077615,0.7347666423409943,-0.33085772949235126,-0.2779429887865663,-0.1432020062456328,0.02227451882136742,0.014644428366245316,0.016571898910772268,-0.02236641575557631,-0.01638979486301761,0.035694224683077765,-0.06285227524945745,0.003551504411362235,-0.021898465687425508,-0.14393207187625795,0.05840888642516085,0.030440643222457008,0.10016556358044394,0.0018544685956734088,0.011442334371169219,-0.0013783493295474987,-0.036235212326140465,0.04120694209106204,0.06116550005887385,-0.05442634186724601,0.032438607994442904
zip_count_4w,-0.06583068451969751,0.025918279857368727,0.015611224803311185,0.03962794541745712,-0.001299697110787079,-0.002488526463987703,-0.023303904716714476,1.0,0.08964160584057099,0.1045790459887802,0.22627074816539097,-0.009041971975618502,0.09282327145323917,-0.0857602544906604,0.014623726854252112,-0.015182247106934563,0.0065919751821486286,0.03647255174691057,-0.014779911793563564,-0.01320818227344601,0.0005555719989428237,0.02743770927102487,0.04233194523173235,0.02078402284209034,-0.19600744677255072,0.019658363864220398,-0.019001450814524482,0.004199844532207014,-0.029485132272490736,0.05933396652888489,-0.0030398048623928955,-0.023547783403256486,0.040819275710144515,-0.011040378678367267,-0.02575481553833929,0.010258091184500044,0.012262158489300923,-0.007841843749955621,-0.0029150913027306243,-0.0017127514032527443,-0.029597519408068682,-0.01041629281797693,0.04831734568342135,-0.017427141714634036,0.015400116831879068,-0.012903366339239712,0.03160053766937238,-0.04674532963028322,-0.012502385569498698,0.004431106609866253,-0.005240322010252931
velocity_6h,-0.07553384390513483,0.012722022509968694,-0.015008047319913297,-0.002770995242997294,-0.04115269330364432,0.021599111261210953,0.024043522942677076,0.08964160584057099,1.0,0.3870750591846922,0.2933031198147919,-0.011942333447325343,0.06341235128341514,-0.1076838970625089,0.00474088133354788,-0.039552296306100944,-0.012452410934968738,-0.013525892023922162,-0.04208874340191048,-0.030802844763041466,0.0172822674642524,0.05339945289114683,0.028888583393842284,0.012548703769667767,-0.29341349623565627,-0.01797859920124269,0.0434883969492086,-0.03319829654013117,-0.026549348315429218,0.02537509779788546,-0.0004778622042124593,-0.025761185482756483,0.03409601395560274,-0.0012900546571849296,0.006798798292108016,-0.006917098745966397,-0.0007939153315397605,0.014254086147354548,-0.07497285400440955,0.0018290150838710469,0.016542458504952312,0.018361733723433134,0.04193464392298012,-0.0005451247663087806,0.017472971732962365,-0.009030293586039463,0.018879742451040748,-0.028480199470465074,0.008449796944271665,-0.015796705228946623,0.004981665228401411
velocity_24h,-0.05763479402499656,0.02234655602970773,-0.01283509722014062,-0.014918267020525547,-0.020237234850792773,0.003088236960823686,0.0488107233428064,0.1045790459887802,0.3870750591846922,1.0,0.381665715013608,0.03861708547695457,0.07606881311807877,-0.11143741384696128,-0.0007753028392776473,-0.0410969037577402,-0.02216900469670218,0.016254267313849522,-0.049032869063119974,0.0062661327103611004,0.01897778502868052,0.05807107367461016,0.022979377796682545,0.015775696300647617,-0.3818955274678059,-0.02656561537809092,0.08007543128742393,-0.037962408408881265,-0.043120167362568886,0.0055360341772649705,-0.01450580834453285,-0.042036282136289106,0.06566484618368044,0.005948592643644826,-0.008869743360621709,-0.00523720943885686,-0.020161438677104408,0.011249446669420989,-0.05127978226460888,-0.021727248674167948,0.03505166604334066,0.006103856032515411,0.028598516938981782,-0.010051193442437961,0.02619780497152536,-0.01884468717478994,-0.00706510489761544,-0.005858470545596837,0.028723547539487353,-0.020978749353204946,0.0029731789958834898
